Introducere + Visual Studio,Gleesik,2401,14,6,106,https://www.youtube.com/watch?v=lAvIuQIhbOQ
Structura unui program,Gleesik,1301,14,23,107,https://www.youtube.com/watch?v=nem8KXgNkI8
Variabile,Gleesik,827,27,43,108,https://www.youtube.com/watch?v=XpvS830k1fo
